"Sample name","Compound_on_Chip_","ID","group","value"
"HSC-45","Pazopanib","VGFR2_944_956","NR",-0.275282145
"MKN1","Pazopanib","FAK1_569_581","NR",-0.016988039
"HSC-43","Pazopanib","VGFR2_1168_1180","R",-0.707373857
"NUGC-3","Pazopanib","ANXA1_14_26","NR",-0.504471302
"NUGC-3","Pazopanib","INSR_992_1004","NR",-0.198983073
"MKN45","Pazopanib","PGFRB_1014_1028","NR",-0.126343086
"JR-st","Pazopanib","VGFR1_1049_1061","NR",0.136354923
"NCI-N87","Pazopanib","PRRX2_202_214","NR",-0.340792805
"NCI-N87","Pazopanib","VGFR2_989_1001","NR",-0.506242752
"MKN74","Pazopanib","NPT2A_501_513","NR",-0.121212602
"58As1","Pazopanib","PGFRB_572_584","NR",-0.264614582
"HSC-43","Pazopanib","KSYK_518_530","R",-0.436991334
"JR-st","Pazopanib","PECA1_706_718","NR",-0.509617209
"MKN28","Pazopanib","ZAP70_485_497","NR",-0.026360512
"KATO III","Pazopanib","KSYK_518_530","R",-0.637191176
"HSC-43","Pazopanib","EPHB4_583_595","R",-0.245213747
"NCI-N87","Pazopanib","MK14_173_185","NR",-0.115455508
"NCI-N87","Pazopanib","VINC_815_827","NR",0.10874486
"HSC-60","Pazopanib","AMPE_5_17","NR",-0.055187583
"HSC-60","Pazopanib","RON_1346_1358","NR",-0.474711537
"JR-st","Pazopanib","VGFR2_989_1001","NR",-0.441827536
"HSC-44PE","Pazopanib","ERBB2_1241_1253","NR",-0.443123102
"HSC-58","Pazopanib","CD79A_181_193","NR",-0.466375828
"KATO III","Pazopanib","FGFR3_753_765","R",-1.19998157
"HSC-60","Pazopanib","RASA1_453_465","NR",-0.704907775
"NCI-N87","Pazopanib","RET_1022_1034","NR",-0.352340072
"HSC-40A","Pazopanib","CD79A_181_193","R",-0.640600443
"HSC-44PE","Pazopanib","RASA1_453_465","NR",-0.835203648
"KATO III","Pazopanib","JAK1_1015_1027","R",-0.988549352
"NCI-N87","Pazopanib","FER_707_719","NR",-0.450337082
"HSC-59","Pazopanib","ZAP70_485_497","NR",-0.363052607
"NUGC-4","Pazopanib","ERBB2_870_882","NR",-0.054867506
"NUGC-3","Pazopanib","ERBB4_1181_1193","NR",-0.158324957
"MKN7","Pazopanib","EGFR_1190_1202","NR",-0.090121984
"NUGC-3","Pazopanib","PDPK1_2_14","NR",-0.56228888
"HSC-59","Pazopanib","RON_1353_1365","NR",-0.028284013
"HSC-40A","Pazopanib","CDK7_157_169","R",-0.227664292
"NCI-N87","Pazopanib","FAK2_572_584","NR",-0.313080072
"HSC-58","Pazopanib","TNNT1_2_14","NR",-0.015631914
"HSC-40A","Pazopanib","PECA1_706_718","R",-0.637609839
"NUGC-3","Pazopanib","C1R_199_211","NR",-0.191798449
"OKAJIMA","Pazopanib","DCX_109_121","NR",0.0412062
"HSC-39","Pazopanib","PGFRB_768_780","R",-0.232557654
"MKN1","Pazopanib","VGFR1_1326_1338","NR",0.01044472
"JR-st","Pazopanib","CD3Z_116_128","NR",-0.203727245
"OKAJIMA","Pazopanib","RAF1_332_344","NR",0.022530397
"MKN28","Pazopanib","RB_804_816","NR",-0.099252619
"HSC-43","Pazopanib","K2C6B_53_65","R",-0.361619592
"NUGC-3","Pazopanib","NPT2A_501_513","NR",-0.029325485
"HSC-58","Pazopanib","MK01_180_192","NR",0.010545492
"MKN1","Pazopanib","ZAP70_485_497","NR",0.135442182
"MKN1","Pazopanib","PGFRB_1002_1014","NR",-0.031058868
"JR-st","Pazopanib","NTRK1_489_501","NR",-0.204371333
"HSC-45","Pazopanib","ANXA2_17_29","NR",-0.153390646
"58As1","Pazopanib","B3AT_39_51","NR",-0.058892488
"HSC-58","Pazopanib","PECA1_706_718","NR",-0.284077168
"44As3","Pazopanib","RON_1346_1358","NR",-0.306604981
"IM95","Pazopanib","DYR1A_212_224","NR",0.093829215
"NCI-N87","Pazopanib","DYR1A_312_324","NR",-0.018612465
"MKN28","Pazopanib","ODBA_340_352","NR",-0.295457602
"KATO III","Pazopanib","CD79A_181_193","R",-0.659900427
"NCI-N87","Pazopanib","NPT2A_501_513","NR",0.013181527
"HSC-45","Pazopanib","DYR1A_212_224","NR",0.053723097
"NCI-N87","Pazopanib","EGFR_1190_1202","NR",-0.325210422
"MKN7","Pazopanib","MBP_259_271","NR",-0.019245028
"MKN7","Pazopanib","RASA1_453_465","NR",-0.559081912
"OCUM-1","Pazopanib","RASA1_453_465","NR",-0.586290836
"IM95","Pazopanib","SRC8_CHICK_470_482","NR",-0.212447643
"MKN7","Pazopanib","FAK1_569_581","NR",-0.349096179
"IM95","Pazopanib","DDR1_506_518","NR",-0.200355649
"MKN74","Pazopanib","TEC_512_524","NR",-0.316326261
"MKN74","Pazopanib","EFS_246_258","NR",-0.697092056
"HSC-43","Pazopanib","CD3Z_116_128","R",-0.198697031
"IM95","Pazopanib","EPHA7_607_619","NR",-0.492099285
"NUGC-3","Pazopanib","TEC_512_524","NR",-0.274283171
"44As3","Pazopanib","PDPK1_369_381","NR",-0.424132705
"HSC-60","Pazopanib","KSYK_518_530","NR",-0.450642705
"HSC-60","Pazopanib","DDR1_506_518","NR",-0.489397764
"NUGC-4","Pazopanib","ANXA1_14_26","NR",-0.30287683
"MKN7","Pazopanib","CD3Z_116_128","NR",-0.822797179
"58As1","Pazopanib","EPOR_361_373","NR",-0.290807724
"HSC-39","Pazopanib","ART_004_EAIYAAPFAKKKXC","R",-0.523746967
"HSC-40A","Pazopanib","MBP_263_275","R",-0.306654453
"HSC-58","Pazopanib","RON_1346_1358","NR",-0.158793688
"HSC-60","Pazopanib","PP2AB_297_309","NR",-0.264594615
"HSC-44PE","Pazopanib","EPHA2_765_777","NR",-0.438079953
"HSC-59","Pazopanib","RON_1346_1358","NR",-0.302399039
"MKN74","Pazopanib","ERBB4_1181_1193","NR",-0.136375904
"44As3","Pazopanib","PAXI_111_123","NR",-0.753061295
"OCUM-1","Pazopanib","P85A_600_612","NR",-0.394973159
"KATO III","Pazopanib","K2C8_425_437","R",-0.194555938
"MKN7","Pazopanib","CALM_95_107","NR",-0.24144268
"NUGC-3","Pazopanib","EGFR_1103_1115","NR",-0.559947789
"SNU-16","Pazopanib","ANXA2_17_29","R",0.011798859
"OCUM-1","Pazopanib","PDPK1_2_14","NR",-0.539349556
"JR-st","Pazopanib","EPHB1_771_783","NR",-0.617358446
"OCUM-1","Pazopanib","VGFR3_1061_1073","NR",-0.070025921
"SNU-16","Pazopanib","NPT2A_501_513","R",-0.205919385
"MKN74","Pazopanib","RON_1353_1365","NR",-0.023961425
"HSC-58","Pazopanib","NTRK1_489_501","NR",0.149355888
"HSC-39","Pazopanib","NTRK1_489_501","R",-0.044337749
"MKN74","Pazopanib","PDPK1_2_14","NR",-0.516919374
"HSC-43","Pazopanib","FGFR1_761_773","R",-0.473391533
"NUGC-4","Pazopanib","PGFRB_572_584","NR",-0.562332034
"HSC-40A","Pazopanib","CDK2_8_20","R",-0.560884476
"HSC-43","Pazopanib","ART_004_EAIYAAPFAKKKXC","R",-0.607251883
"HSC-58","Pazopanib","TYRO3_679_691","NR",-0.191713333
"MKN28","Pazopanib","NTRK2_696_708","NR",-0.040973265
"SNU-16","Pazopanib","EPOR_361_373","R",-0.533238769
"HSC-58","Pazopanib","EFS_246_258","NR",-0.402097702
"NUGC-4","Pazopanib","FER_707_719","NR",-0.481551051
"HSC-40A","Pazopanib","K2C8_425_437","R",-0.551199555
"HSC-44PE","Pazopanib","MK10_216_228","NR",-0.171695471
"MKN45","Pazopanib","VGFR2_989_1001","NR",-0.246091843
"HSC-45","Pazopanib","EPHA2_765_777","NR",-0.697360039
"HSC-40A","Pazopanib","FRK_380_392","R",-0.625566006
"OKAJIMA","Pazopanib","PAXI_111_123","NR",0.072784901
"NCI-N87","Pazopanib","EGFR_1165_1177","NR",-0.165437937
"KATO III","Pazopanib","DYR1A_212_224","R",-0.550279617
"HSC-58","Pazopanib","41_654_666","NR",-0.198601961
"MKN1","Pazopanib","FES_706_718","NR",-0.279237896
"NCI-N87","Pazopanib","PDPK1_2_14","NR",-0.449033499
"OKAJIMA","Pazopanib","RASA1_453_465","NR",-0.03015391
"HSC-44PE","Pazopanib","SRC8_CHICK_492_504","NR",-0.507344723
"HSC-60","Pazopanib","ERBB4_1277_1289","NR",-0.280580401
"HSC-44PE","Pazopanib","NTRK1_489_501","NR",-0.336889327
"HSC-44PE","Pazopanib","VGFR1_1049_1061","NR",0.168854892
"HSC-39","Pazopanib","EPOR_361_373","R",-0.477493167
"HSC-60","Pazopanib","PGFRB_709_721","NR",-0.465236545
"MKN74","Pazopanib","FAK2_572_584","NR",-0.096313119
"44As3","Pazopanib","PGFRB_768_780","NR",-0.228100419
"HSC-45","Pazopanib","VGFR3_1061_1073","NR",-0.242209435
"MKN45","Pazopanib","EPHB1_921_933","NR",0.182190657
"NUGC-3","Pazopanib","CTNB1_79_91","NR",-0.273614168
"OCUM-1","Pazopanib","ODBA_340_352","NR",-0.172757864
"MKN45","Pazopanib","FGFR1_761_773","NR",0.136326313
"44As3","Pazopanib","41_654_666","NR",-0.46678412
"HSC-44PE","Pazopanib","MBP_198_210","NR",-0.220471442
"NUGC-3","Pazopanib","PAXI_111_123","NR",-0.735634089
"MKN45","Pazopanib","JAK1_1015_1027","NR",-0.221721649
"HSC-44PE","Pazopanib","VGFR1_1326_1338","NR",-0.291877031
"HSC-60","Pazopanib","EPHA1_774_786","NR",-0.618555307
"HSC-39","Pazopanib","INSR_992_1004","R",-0.405995131
"MKN28","Pazopanib","DDR1_506_518","NR",-0.134897068
"MKN28","Pazopanib","FGFR2_762_774","NR",-0.166348219
"HSC-45","Pazopanib","ZBT16_621_633","NR",-0.164556503
"MKN28","Pazopanib","TNNT1_2_14","NR",-0.218496874
"58As1","Pazopanib","MBP_198_210","NR",-0.262753963
"HSC-43","Pazopanib","VGFR1_1206_1218","R",-0.208046675
"IM95","Pazopanib","LCK_387_399","NR",-0.514454722
"JR-st","Pazopanib","FES_706_718","NR",-0.641112089
"MKN45","Pazopanib","SRC8_CHICK_492_504","NR",-0.392572731
"HSC-39","Pazopanib","B3AT_39_51","R",-0.116482794
"58As1","Pazopanib","DDR1_506_518","NR",0.206759214
"HSC-40A","Pazopanib","EPOR_361_373","R",-0.600786924
"NUGC-4","Pazopanib","VGFR2_1046_1058","NR",-0.208059907
"SNU-16","Pazopanib","EGFR_1103_1115","R",-0.274698496
"MKN1","Pazopanib","RET_1022_1034","NR",0.088425077
"NCI-N87","Pazopanib","VGFR2_1046_1058","NR",-0.185087726
"MKN74","Pazopanib","RB_804_816","NR",-0.297250271
"OKAJIMA","Pazopanib","EGFR_1165_1177","NR",0.156770706
"NCI-N87","Pazopanib","FGFR1_761_773","NR",0.099626027
"HSC-44PE","Pazopanib","ZBT16_621_633","NR",-0.150294662
"HSC-40A","Pazopanib","PAXI_111_123","R",-0.715023518
"HSC-58","Pazopanib","FAK1_569_581","NR",-0.165531874
"HSC-60","Pazopanib","SRC8_CHICK_476_488","NR",-0.641625643
"44As3","Pazopanib","EPHA7_607_619","NR",-0.555882692
"MKN28","Pazopanib","VGFR1_1162_1174","NR",0.047774434
"MKN74","Pazopanib","VGFR2_1168_1180","NR",-0.026611805
"MKN1","Pazopanib","TEC_512_524","NR",-0.059075832
"SNU-16","Pazopanib","PAXI_24_36","R",-0.412392259
"NCI-N87","Pazopanib","SRC8_CHICK_492_504","NR",-0.4552342
"HSC-59","Pazopanib","FGFR3_753_765","NR",-0.242278457
"HSC-60","Pazopanib","MK12_178_190","NR",-0.338943124
"MKN7","Pazopanib","CDK2_8_20","NR",-0.77592206
"HSC-60","Pazopanib","VGFR1_1162_1174","NR",-0.099892199
"MKN28","Pazopanib","FGFR3_753_765","NR",-0.108527504
"MKN74","Pazopanib","EPHB1_921_933","NR",0.056528091
"HSC-44PE","Pazopanib","ODBA_340_352","NR",-0.260897696
"58As1","Pazopanib","CTNB1_79_91","NR",-0.301495552
"MKN45","Pazopanib","MK10_216_228","NR",-0.110975899
"OKAJIMA","Pazopanib","NTRK2_696_708","NR",-0.144953966
"HSC-60","Pazopanib","NTRK1_489_501","NR",-0.072837114
"MKN74","Pazopanib","ACHD_383_395","NR",0.004603982
"NUGC-3","Pazopanib","ZBT16_621_633","NR",-0.015082955
"OCUM-1","Pazopanib","FGFR3_753_765","NR",-0.392464757
"HSC-45","Pazopanib","EGFR_1165_1177","NR",-0.028162241
"HSC-60","Pazopanib","JAK1_1015_1027","NR",-0.491670609
"44As3","Pazopanib","PGFRB_572_584","NR",-0.50018549
"OCUM-1","Pazopanib","VGFR2_1052_1064","NR",-0.14980644
"SNU-16","Pazopanib","RASA1_453_465","R",-0.442386627
"MKN7","Pazopanib","VGFR3_1061_1073","NR",-0.071828723
"OCUM-1","Pazopanib","FAK2_572_584","NR",-0.049776316
"IM95","Pazopanib","EPOR_419_431","NR",-0.507532239
"KATO III","Pazopanib","SRC8_CHICK_492_504","R",-0.498173237
"HSC-44PE","Pazopanib","41_654_666","NR",-0.078087926
"HSC-43","Pazopanib","NPT2A_501_513","R",-0.399786592
"MKN28","Pazopanib","RAF1_332_344","NR",-0.070956148
"MKN28","Pazopanib","TYRO3_679_691","NR",0.030884027
"HSC-43","Pazopanib","VGFR1_1162_1174","R",-0.530029595
"SNU-16","Pazopanib","MK07_211_223","R",-0.373592496
"HSC-44PE","Pazopanib","AMPE_5_17","NR",0.143398046
"SNU-16","Pazopanib","CALM_95_107","R",-0.401146412
"SNU-16","Pazopanib","DDR1_506_518","R",0.023687005
"IM95","Pazopanib","PDPK1_2_14","NR",-0.508337021
"HSC-43","Pazopanib","VGFR2_1052_1064","R",-0.368264198
"KATO III","Pazopanib","VGFR2_1052_1064","R",-0.193928123
"OKAJIMA","Pazopanib","PRGR_786_798","NR",0.280255407
"HSC-44PE","Pazopanib","NTRK2_696_708","NR",-0.179587245
"JR-st","Pazopanib","ANXA1_14_26","NR",-0.459563851
"OKAJIMA","Pazopanib","VGFR1_1162_1174","NR",-0.043415904
"HSC-44PE","Pazopanib","PGFRB_709_721","NR",-0.259698033
"OCUM-1","Pazopanib","KSYK_518_530","NR",-0.297312856
"HSC-40A","Pazopanib","MK12_178_190","R",-0.266511202
"HSC-45","Pazopanib","PRGR_786_798","NR",-0.370235205
"OCUM-1","Pazopanib","ERBB4_1277_1289","NR",-0.314092994
"HSC-40A","Pazopanib","VGFR2_1052_1064","R",-0.572737932
"OKAJIMA","Pazopanib","EPHA4_589_601","NR",-0.206785917
"OKAJIMA","Pazopanib","PTN11_539_551","NR",0.093320929
"HSC-58","Pazopanib","FES_706_718","NR",-0.37742424
"HSC-44PE","Pazopanib","FGFR2_762_774","NR",-0.182511687
"HSC-58","Pazopanib","EGFR_1190_1202","NR",-0.369826078
"HSC-43","Pazopanib","DCX_109_121","R",-0.332413912
"HSC-59","Pazopanib","TEC_512_524","NR",-0.415130734
"IM95","Pazopanib","KSYK_518_530","NR",-0.363963127
"HSC-40A","Pazopanib","ODBA_340_352","R",-0.470120311
"58As1","Pazopanib","VGFR2_1046_1058","NR",0.276730657
"HSC-39","Pazopanib","EPHB1_921_933","R",-0.083111763
"MKN7","Pazopanib","EPHA1_774_786","NR",-0.657036066
"HSC-59","Pazopanib","VGFR2_1046_1058","NR",0.080768168
"HSC-58","Pazopanib","VINC_815_827","NR",-0.097899437
"58As1","Pazopanib","DCX_109_121","NR",-0.012075186
"SNU-16","Pazopanib","EPHB1_771_783","R",-0.510223746
"MKN7","Pazopanib","VGFR2_1168_1180","NR",-0.190600514
"MKN28","Pazopanib","EPHA2_765_777","NR",-0.297921985
"MKN7","Pazopanib","CBL_693_705","NR",-0.316877604
"HSC-40A","Pazopanib","VINC_815_827","R",-0.184911013
"KATO III","Pazopanib","MK07_211_223","R",-0.869097233
"MKN1","Pazopanib","TYRO3_679_691","NR",0.095328651
"HSC-60","Pazopanib","FRK_380_392","NR",-0.728403091
"HSC-60","Pazopanib","CD3Z_116_128","NR",-0.405849814
"KATO III","Pazopanib","PGFRB_768_780","R",-0.118073821
"SNU-16","Pazopanib","AMPE_5_17","R",-0.070931137
"HSC-39","Pazopanib","SRC8_CHICK_470_482","R",-0.064017713
"NCI-N87","Pazopanib","CBL_693_705","NR",-0.371118695
"NCI-N87","Pazopanib","MK12_178_190","NR",0.0287714
"NUGC-4","Pazopanib","PGFRB_1014_1028","NR",-0.24884975
"HSC-39","Pazopanib","RB_804_816","R",-0.388982654
"IM95","Pazopanib","EFS_246_258","NR",-0.727986336
"HSC-58","Pazopanib","ACHD_383_395","NR",-0.175011158
"KATO III","Pazopanib","MBP_198_210","R",-0.467757344
"HSC-44PE","Pazopanib","EPOR_361_373","NR",-0.05533731
"NCI-N87","Pazopanib","RAF1_332_344","NR",-0.095345415
"NUGC-4","Pazopanib","PGFRB_768_780","NR",-0.262148976
"MKN28","Pazopanib","VGFR1_1040_1052","NR",0.073651709
"HSC-40A","Pazopanib","EGFR_1103_1115","R",-0.563247383
"MKN45","Pazopanib","DCX_109_121","NR",0.073441185
"OCUM-1","Pazopanib","ACHD_383_395","NR",-0.129027128
"NUGC-3","Pazopanib","EPHA7_607_619","NR",-0.60526526
"HSC-60","Pazopanib","RAF1_332_344","NR",-0.571228385
"HSC-40A","Pazopanib","PP2AB_297_309","R",-0.20226115
"MKN28","Pazopanib","PLCG1_764_776","NR",-0.323615074
"HSC-44PE","Pazopanib","ANXA2_17_29","NR",-0.010866106
"OCUM-1","Pazopanib","CD3Z_116_128","NR",-0.165027559
"MKN28","Pazopanib","MBP_259_271","NR",0.116426587
"MKN45","Pazopanib","FAK1_569_581","NR",-0.095846653
"MKN74","Pazopanib","INSR_992_1004","NR",-0.287679613
"OKAJIMA","Pazopanib","ENOG_37_49","NR",-0.275307506
"MKN74","Pazopanib","CD3Z_116_128","NR",-0.402865112
"HSC-45","Pazopanib","LAT_249_261","NR",-0.546390057
"MKN74","Pazopanib","ANXA2_17_29","NR",-0.051010072
"JR-st","Pazopanib","ODBA_340_352","NR",-0.264729738
"NUGC-3","Pazopanib","PGFRB_572_584","NR",-0.486740351
"MKN74","Pazopanib","MBP_198_210","NR",-0.175493836
"IM95","Pazopanib","NCF1_313_325","NR",-0.170483112
"KATO III","Pazopanib","PLCG1_764_776","R",-0.529618502
"HSC-40A","Pazopanib","NPT2A_501_513","R",-0.262303472
"SNU-16","Pazopanib","CTNB1_79_91","R",-0.352351427
"NUGC-4","Pazopanib","EGFR_1165_1177","NR",-0.074684024
"MKN45","Pazopanib","KSYK_518_530","NR",-0.054597061
"HSC-44PE","Pazopanib","RET_1022_1034","NR",-0.583222628
"IM95","Pazopanib","SRC8_CHICK_476_488","NR",-0.621573687
"OCUM-1","Pazopanib","FAK1_569_581","NR",-0.163110256
"MKN74","Pazopanib","PAXI_24_36","NR",-0.502140284
"MKN45","Pazopanib","EPOR_361_373","NR",-0.193993405
"HSC-39","Pazopanib","LAT_194_206","R",-0.377744913
"MKN28","Pazopanib","MK01_180_192","NR",-0.006248633
"MKN45","Pazopanib","MK07_211_223","NR",-0.373755783
"HSC-45","Pazopanib","DYR1A_312_324","NR",-0.268898726
"KATO III","Pazopanib","EFS_246_258","R",-0.64708209
"IM95","Pazopanib","PGFRB_709_721","NR",-0.356034517
"HSC-58","Pazopanib","ODBA_340_352","NR",-0.045907497
"MKN45","Pazopanib","LAT_249_261","NR",-0.160983086
"HSC-45","Pazopanib","KSYK_518_530","NR",-0.134756804
"HSC-59","Pazopanib","VGFR1_1206_1218","NR",-0.25967145
"JR-st","Pazopanib","EPHA1_774_786","NR",-0.492262602
"KATO III","Pazopanib","ODBA_340_352","R",-0.724820137
"58As1","Pazopanib","PLCG1_764_776","NR",-0.421713829
"HSC-43","Pazopanib","RON_1353_1365","R",-0.360154152
"JR-st","Pazopanib","VGFR1_1326_1338","NR",-0.132106662
"HSC-39","Pazopanib","VGFR1_1040_1052","R",-0.28483659
"NUGC-4","Pazopanib","FAK2_572_584","NR",-0.301965594
"44As3","Pazopanib","MK14_173_185","NR",-0.187319875
"MKN45","Pazopanib","TYRO3_679_691","NR",-0.110644497
"HSC-40A","Pazopanib","MBP_259_271","R",-0.409610152
"OCUM-1","Pazopanib","RON_1346_1358","NR",-0.545724511
"MKN74","Pazopanib","FAK1_569_581","NR",-0.153930426
"HSC-45","Pazopanib","FGFR2_762_774","NR",-0.388401031
"NUGC-3","Pazopanib","ZAP70_485_497","NR",-0.320440292
"OKAJIMA","Pazopanib","EPOR_419_431","NR",-0.122842312
"HSC-59","Pazopanib","AMPE_5_17","NR",-0.106145144
"44As3","Pazopanib","VGFR1_1162_1174","NR",-0.003447592
"HSC-39","Pazopanib","DDR1_506_518","R",-0.083616495
"NUGC-3","Pazopanib","MK07_211_223","NR",0.072645068
"HSC-45","Pazopanib","K2C8_425_437","NR",-0.058158159
"MKN7","Pazopanib","FGFR1_761_773","NR",-0.437345743
"MKN28","Pazopanib","MK14_173_185","NR",-0.495504946
"NCI-N87","Pazopanib","MK07_211_223","NR",-0.265473515
"HSC-45","Pazopanib","EPHA7_607_619","NR",-0.632196188
"HSC-60","Pazopanib","ACHD_383_395","NR",-0.208809853
"MKN28","Pazopanib","LCK_387_399","NR",-0.101754189
"HSC-43","Pazopanib","K2C8_425_437","R",-0.24785471
"IM95","Pazopanib","MK01_180_192","NR",0.070334792
"IM95","Pazopanib","RET_1022_1034","NR",-0.373364925
"SNU-16","Pazopanib","VGFR1_1049_1061","R",0.046602309
"MKN74","Pazopanib","CRK_214_226","NR",-0.29416573
"HSC-58","Pazopanib","VGFR1_1040_1052","NR",-0.261444807
"NUGC-4","Pazopanib","EPHA2_765_777","NR",-0.36502099
"58As1","Pazopanib","ANXA2_17_29","NR",0.234555602
"HSC-60","Pazopanib","EPOR_361_373","NR",-0.641150475
"OCUM-1","Pazopanib","SRC8_CHICK_492_504","NR",-0.435529232
"NUGC-4","Pazopanib","LAT_194_206","NR",-0.210835695
"MKN28","Pazopanib","CALM_95_107","NR",-0.206968069
"MKN45","Pazopanib","CD79A_181_193","NR",-0.403884888
"NCI-N87","Pazopanib","ODBA_340_352","NR",-0.348768711
"KATO III","Pazopanib","PDPK1_2_14","R",-0.481683135
"HSC-59","Pazopanib","LAT_194_206","NR",-0.162932158
"44As3","Pazopanib","VGFR1_1326_1338","NR",-0.181841373
"MKN7","Pazopanib","ART_004_EAIYAAPFAKKKXC","NR",-0.704643011
"NUGC-4","Pazopanib","PDPK1_2_14","NR",-0.517241836
"MKN74","Pazopanib","PGFRB_1014_1028","NR",-0.25684011
"HSC-58","Pazopanib","NCF1_313_325","NR",0.001159668
"MKN7","Pazopanib","VGFR2_989_1001","NR",-0.580096483
"NUGC-4","Pazopanib","AMPE_5_17","NR",0.10027504
"HSC-59","Pazopanib","JAK1_1015_1027","NR",-0.259263396
"44As3","Pazopanib","FGFR1_761_773","NR",-0.337484837
"MKN74","Pazopanib","FER_707_719","NR",-0.278809547
"HSC-58","Pazopanib","PTN11_539_551","NR",-0.177154779
"HSC-45","Pazopanib","JAK1_1015_1027","NR",-0.459738731
"OCUM-1","Pazopanib","DDR1_506_518","NR",-0.111176312
"HSC-39","Pazopanib","ODBA_340_352","R",-0.475793362
"HSC-39","Pazopanib","EPOR_419_431","R",-0.356832147
"HSC-40A","Pazopanib","DYR1A_312_324","R",-0.432520032
"JR-st","Pazopanib","NPT2A_501_513","NR",-0.138060808
"MKN7","Pazopanib","PGFRB_768_780","NR",-0.203594089
"NCI-N87","Pazopanib","ERBB4_1181_1193","NR",0.004513741
"JR-st","Pazopanib","PGFRB_771_783","NR",-0.08509165
"KATO III","Pazopanib","EPHB1_921_933","R",-0.108593106
"HSC-59","Pazopanib","RB_804_816","NR",-0.168555379
"HSC-40A","Pazopanib","RAF1_332_344","R",-0.541267037
"JR-st","Pazopanib","FGFR2_762_774","NR",-0.4477036
"OCUM-1","Pazopanib","PGFRB_1002_1014","NR",-0.588244259
"HSC-45","Pazopanib","VGFR2_989_1001","NR",-0.734806299
"NUGC-4","Pazopanib","PAXI_111_123","NR",-0.612856388
"MKN7","Pazopanib","VINC_815_827","NR",-0.23746562
"MKN1","Pazopanib","RON_1353_1365","NR",-0.147843793
"SNU-16","Pazopanib","NCF1_313_325","R",-0.44054091
"58As1","Pazopanib","MK01_180_192","NR",0.051841497
"IM95","Pazopanib","NTRK2_696_708","NR",-0.34882319
"OKAJIMA","Pazopanib","EPHA1_774_786","NR",0.027881941
"JR-st","Pazopanib","PGFRB_572_584","NR",-0.55769217
"HSC-39","Pazopanib","MK10_216_228","R",-0.240165591
"44As3","Pazopanib","EFS_246_258","NR",-0.768316746
"OCUM-1","Pazopanib","CDK7_157_169","NR",0.003069401
"IM95","Pazopanib","JAK1_1015_1027","NR",-0.41299057
"HSC-40A","Pazopanib","FAK2_572_584","R",-0.495031118
"44As3","Pazopanib","CTNB1_79_91","NR",-0.404179215
"IM95","Pazopanib","PRGR_786_798","NR",-0.264882088
"HSC-44PE","Pazopanib","K2C6B_53_65","NR",-0.208299994
"MKN28","Pazopanib","ERBB2_870_882","NR",-0.011019071
"HSC-59","Pazopanib","VGFR2_944_956","NR",0.12887454
"MKN28","Pazopanib","VGFR2_1168_1180","NR",-0.009191831
"MKN7","Pazopanib","PGFRB_1002_1014","NR",-0.56709218
"MKN7","Pazopanib","FAK2_572_584","NR",-0.20870018
"NUGC-3","Pazopanib","RB_804_816","NR",-0.442305565
"NUGC-3","Pazopanib","PRGR_786_798","NR",-0.11739862
"44As3","Pazopanib","DYR1A_312_324","NR",-0.261664748
"JR-st","Pazopanib","CRK_214_226","NR",-0.132815957
"HSC-39","Pazopanib","MK07_211_223","R",-0.037137508
"MKN28","Pazopanib","EGFR_1165_1177","NR",-0.116222538
"KATO III","Pazopanib","EPHA1_774_786","R",-0.439168096
"KATO III","Pazopanib","VGFR1_1326_1338","R",-0.693782687
"HSC-39","Pazopanib","VGFR1_1049_1061","R",-0.27531141
"MKN1","Pazopanib","SRC8_CHICK_476_488","NR",-0.224855259
"NUGC-3","Pazopanib","VGFR2_944_956","NR",-0.155689597
"SNU-16","Pazopanib","ERBB2_870_882","R",-0.165154576
"NCI-N87","Pazopanib","EPOR_419_431","NR",-0.264835745
"MKN28","Pazopanib","VINC_815_827","NR",0.218014553
"OCUM-1","Pazopanib","TEC_512_524","NR",-0.478608489
"MKN45","Pazopanib","VGFR1_1162_1174","NR",-0.197714373
"NUGC-3","Pazopanib","RON_1353_1365","NR",-0.129266143
"HSC-43","Pazopanib","CD79A_181_193","R",-0.619327545
"OCUM-1","Pazopanib","EPOR_419_431","NR",-0.344486952
"NUGC-3","Pazopanib","FAK2_572_584","NR",-0.313823462
"HSC-43","Pazopanib","MBP_263_275","R",-0.047664642
"SNU-16","Pazopanib","P85A_600_612","R",-0.477677226
"HSC-44PE","Pazopanib","PECA1_706_718","NR",-0.435266018
"58As1","Pazopanib","MBP_263_275","NR",-0.029240847
"JR-st","Pazopanib","CTNB1_79_91","NR",-0.632328093
"NCI-N87","Pazopanib","PGFRB_1014_1028","NR",-0.196611404
"MKN74","Pazopanib","ERBB2_1241_1253","NR",-0.291516304
"HSC-45","Pazopanib","ART_004_EAIYAAPFAKKKXC","NR",-0.637848616
"KATO III","Pazopanib","EPOR_419_431","R",-0.829449296
"MKN7","Pazopanib","VGFR1_1326_1338","NR",-0.388404727
"NUGC-3","Pazopanib","EPOR_361_373","NR",-0.528333426
"HSC-39","Pazopanib","VINC_815_827","R",-0.275474072
"HSC-44PE","Pazopanib","C1R_199_211","NR",0.336438537
"MKN28","Pazopanib","PAXI_111_123","NR",-0.317482799
"NUGC-3","Pazopanib","EPHB4_583_595","NR",-0.038393259
